Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
lipoamide[m]	11	8.1033	0.08669	0.46956	-8.1033	0.90848	1	8.2476	0.43995	0.90508	8	9.3729	0.22858	0.83191	3	0.48705	0.85994	0.96952
S-acetyldihydrolipoamide[m]	3	3.4224	0.32065	0.85141	-3.4224	0.68371	1	2.2079	0.76966	0.97978	3	2.2079	0.81864	0.99076	0	NA	NA	NA
dihydrolipoamide[m]	7	5.3762	0.22485	0.74726	-5.3762	0.77937	1	4.9505	0.69228	0.97978	5	6.1502	0.4521	0.99076	2	-0.46279	0.88571	0.97155
beta-D-glucose[c]	7	0.24935	0.77111	0.99999	-0.24935	0.28968	0.93502	5.8112	0.5692	0.96474	5	3.1864	0.85006	0.99076	2	5.8336	0.1176	0.65625
beta-D-glucose-6-phosphate[c]	7	2.6453	0.51684	0.99999	-2.6458	0.52581	1	8.322	0.21696	0.72116	5	6.1573	0.45101	0.99076	2	5.8336	0.1176	0.65625
H2O2[p]	19	0.81274	0.8655	0.99999	5.3403	0.0085132	0.17926	16.338	0.011445	0.20778	12	10.059	0.35519	0.97794	7	13.748	0.00050842	0.05071
H2O[p]	41	0.32097	0.96918	0.99999	3.8677	0.0066665	0.15447	17.503	0.1819	0.65765	24	11.082	0.75692	0.99076	17	14.014	0.010383	0.26703
carbamoyl-phosphate[r];NH3[r]	2	2.9703	0.33101	0.85656	-2.9703	0.66925	1	2.4353	0.63514	0.97941	2	2.4353	0.69058	0.99076	0	NA	NA	NA
CO2[r]	4	2.2518	0.48477	0.98295	-2.2518	0.54383	1	4.7469	0.49998	0.94572	3	3.8273	0.61048	0.99076	1	2.8647	0.35762	0.91164
O2[c]	152	4.3969	0.99347	0.99999	-1.0643	0.0052268	0.12609	34.004	0.031782	0.31846	85	25.059	0.36703	0.98624	67	22.992	0.0023742	0.11674
H2O[s]	127	7.6421	0.89754	0.99999	-3.9166	0.049857	0.4923	32.175	0.018208	0.25248	81	24.117	0.43278	0.99076	46	21.459	0.00052242	0.05071
maltose[s]	7	-5.639	0.99312	0.99999	5.639	0.018974	0.28492	6.797	0.42021	0.8838	2	1.415	0.8126	0.99076	5	7.1474	0.13209	0.65625
glucose[s]	26	3.0691	0.74954	0.99999	-2.0637	0.25607	0.90708	12.983	0.36724	0.85452	15	10.838	0.40596	0.99076	11	7.304	0.36112	0.9117
UDP-glucose[c]	17	9.3534	0.067724	0.417	-9.3536	0.92977	1	9.6934	0.50524	0.9497	13	10.743	0.3089	0.9323	4	0.61603	0.89047	0.97155
UDP-glucuronate[c]	16	6.5623	0.24492	0.76608	-6.5623	0.77792	1	10.319	0.37752	0.85894	12	9.2313	0.48005	0.99076	4	4.6484	0.37716	0.91745
trehalose[s]	2	1.9563	0.44456	0.94778	-1.9563	0.57124	1	1.3573	0.7752	0.97978	2	1.3573	0.81848	0.99076	0	NA	NA	NA
glycogenin[c]	6	4.2599	0.31626	0.84899	-4.2603	0.69683	1	6.703	0.37257	0.85654	5	5.4554	0.55997	0.99076	1	4.2205	0.18865	0.7212
glycogenin G8[c]	3	6.3239	0.093448	0.48259	-6.3245	0.89207	1	5.1992	0.34376	0.85452	3	5.1992	0.40021	0.99076	0	NA	NA	NA
glycogenin G11[c]	4	6.1155	0.1241	0.5453	-6.116	0.86378	1	4.921	0.47364	0.92489	4	4.921	0.55922	0.99076	0	NA	NA	NA
glycogen[c]	3	2.4453	0.42923	0.9312	-2.4453	0.58799	1	5.0029	0.37167	0.85654	2	4.5105	0.38369	0.98993	1	2.2865	0.44281	0.95692
glycogenin G4G7[c]	4	0.99073	0.62788	0.99999	-0.99073	0.416	1	4.8012	0.49176	0.93874	3	3.1073	0.71244	0.99076	1	4.2205	0.18865	0.7212
glycogenin G4G4[c];glycogenin G7[c]	4	1.4166	0.5805	0.99999	-1.4166	0.45885	1	5.3006	0.41674	0.8823	3	3.6839	0.6317	0.99076	1	4.2205	0.18865	0.7212
maltodecaose[c];maltononaose[c];maltodecaose[s];maltononaose[s];maltoheptaose[c];maltoheptaose[s];maltohexaose[c];maltohexaose[s];maltopentaose[c];maltopentaose[s];maltotetraose[c];maltotetraose[s];maltotriose[s]	3	1.4574	0.54475	0.99999	-1.4574	0.48557	1	0.8138	0.89779	0.98725	2	1.415	0.8126	0.99076	1	-0.59162	0.83045	0.96952
fructose[c]	19	4.1765	0.55016	0.99999	-4.1766	0.52105	1	9.8957	0.56344	0.96238	13	8.4472	0.65257	0.99076	6	5.1755	0.42702	0.95692
maltotriose[c]	4	-1.5306	0.85427	0.99999	1.5306	0.19589	0.82529	3.4367	0.69054	0.97978	2	1.415	0.8126	0.99076	2	3.4452	0.38972	0.92837
maltose[c]	5	-3.3465	0.95152	0.99999	3.3465	0.084507	0.6175	4.9833	0.54805	0.9571	2	1.415	0.8126	0.99076	3	5.278	0.22224	0.80232
H2O[l]	83	2.6864	0.97871	0.99999	-2.6235	0.073449	0.56718	18.099	0.90793	0.98725	47	13.362	0.9629	0.99076	36	12.215	0.39157	0.92837
glucose[l]	3	-0.10588	0.71651	0.99999	0.10588	0.32805	0.97846	5.2586	0.33547	0.84884	1	4.7219	0.20389	0.81349	2	3.1015	0.44056	0.95692
UDP-galactose[c]	58	22.361	1.4624e-05	0.0013554	-21.802	0.99994	1	20.477	0.17858	0.6511	47	23.361	0.019289	0.22492	11	-1.2681	0.99805	0.99945
galactose[c]	15	5.9172	0.29413	0.83408	-4.5932	0.61151	1	10.054	0.36332	0.85452	9	11.061	0.10736	0.58614	6	2.3501	0.81572	0.9676
alpha-D-galactose-1-phosphate[c]	3	0.56988	0.64566	0.99999	-0.56988	0.39418	1	1.6144	0.83246	0.9838	2	1.1579	0.83788	0.99076	1	1.1587	0.61298	0.9673
galactose-1-phosphate[c]	4	0.44836	0.68545	0.99999	-0.44836	0.3629	1	0.66754	0.93927	0.98796	2	1.1579	0.83788	0.99076	2	-0.2139	0.86639	0.97052
sucrose[s]	2	-4.734	0.96598	0.99999	4.734	0.063674	0.5376	4.3026	0.35729	0.85452	0	NA	NA	NA	2	4.3026	0.27237	0.83213
fructose[s]	7	-2.9941	0.95453	0.99999	2.994	0.081937	0.60373	7.9801	0.25714	0.77413	2	5.6129	0.23662	0.85023	5	5.8922	0.26189	0.82667
lactose[s];3-keto-beta-D-galactose[s];3-ketolactose[s];LacCer pool[s];lactose-6-phosphate[s]	3	3.4467	0.31809	0.85027	-3.4467	0.68597	1	1.8092	0.81319	0.98376	2	3.7926	0.49147	0.99076	1	-2.23	0.94318	0.97887
galactose[s]	11	4.8307	0.34124	0.85825	-3.2848	0.53783	1	10.399	0.16772	0.63972	7	10.068	0.11496	0.60377	4	3.9264	0.4853	0.96722
galactosylglycerol[s]	3	3.3427	0.32909	0.85656	-3.3427	0.67625	1	2.7108	0.70749	0.97978	3	2.7108	0.76259	0.99076	0	NA	NA	NA
glycerol[s]	5	3.8778	0.32654	0.85656	-3.8778	0.68522	1	2.9858	0.8105	0.98376	5	2.9858	0.86757	0.99076	0	NA	NA	NA
CDP[c]	18	18.104	3.2113e-05	0.0026454	-16.759	0.99959	1	18.044	0.0012273	0.065492	16	18.831	0.0006102	0.032341	2	0.87038	0.75733	0.9673
tagatose-1,6-bisphosphate[c]	3	7.2046	0.057168	0.39051	-7.061	0.92369	1	6.6435	0.17037	0.63972	3	6.6435	0.20771	0.81349	0	NA	NA	NA
CTP[c]	62	23.275	6.5393e-06	0.00098094	-22.553	0.99996	1	23.533	0.030417	0.31813	52	24.934	0.0098377	0.17163	10	1.7398	0.95204	0.98284
D-tagatose-6-phosphate[c]	7	10.898	0.0088956	0.1284	-10.804	0.98508	1	10.172	0.068466	0.44003	7	10.172	0.10739	0.58614	0	NA	NA	NA
ITP[c]	17	12.594	0.0071905	0.11107	-11.911	0.98372	1	15.386	0.0146	0.22711	14	15.028	0.021791	0.22492	3	4.1628	0.36871	0.91745
IDP[c]	16	12.146	0.0098904	0.13799	-11.443	0.97891	1	15.074	0.016478	0.23093	13	14.724	0.020472	0.22492	3	4.1628	0.36871	0.91745
glucose[g]	3	14.177	0.00014122	0.0079259	-11.206	0.99405	1	13.975	8.9584e-05	0.012135	3	13.975	0.00012373	0.01399	0	NA	NA	NA
UDP-galactose[g]	55	22.693	6.6844e-06	0.00098094	-22.12	0.99996	1	20.887	0.096946	0.51734	46	23.338	0.016706	0.217	9	-1.1289	0.99586	0.99945
lactose[g]	2	7.9322	0.029123	0.28492	-7.9194	0.95529	1	7.7219	0.047652	0.37271	2	7.7219	0.063823	0.44704	0	NA	NA	NA
UDP[g]	98	24.584	1.9298e-05	0.0016992	-23.828	0.99994	1	31.097	0.0017606	0.0795	72	32.072	6.9915e-05	0.01078	26	7.0012	0.85145	0.96952
glyceraldehyde[c]	18	5.8362	0.33928	0.85825	-5.8361	0.70342	1	14.584	0.042646	0.34962	11	13.142	0.044645	0.35458	7	6.9124	0.24292	0.81031
galactose[l]	9	2.0623	0.62302	0.99999	-2.0623	0.43567	1	4.4224	0.84535	0.9838	6	3.5211	0.86998	0.99076	3	2.6802	0.59313	0.9673
galactitol[c];4-methylpentan-1-ol[c]	2	5.4493	0.12203	0.53992	-5.4489	0.85751	1	5.1771	0.24234	0.75796	1	7.9566	0.018177	0.22178	1	-0.63506	0.83461	0.96952
fructose-2,6-bisphosphate[c]	5	0.37845	0.71641	0.99999	-0.37845	0.33815	0.98975	1.4797	0.92675	0.98796	2	2.3359	0.70385	0.99076	3	0.0030844	0.89731	0.97155
fructose-1-phosphate[c];D-xylulose-1-phosphate[c]	4	8.178	0.039991	0.33535	-8.178	0.94784	1	7.7022	0.13093	0.58243	4	7.7022	0.17528	0.75071	0	NA	NA	NA
D-glucitol[c]	14	14.211	0.0013593	0.038467	-14.211	0.99737	1	13.557	0.037011	0.33548	12	14.887	0.012337	0.18681	2	-0.59648	0.89522	0.97155
sorbitol-3-phosphate[c];fructose-3-phosphate[c];D-mannose-1,6-bisphosphate[c];1-deoxy-1-(N6-lysino)-D-fructose[c];fructoselysine-3-phosphate[c];fructoseglycine-ketone-3-phosphate[c];fructoseglycine[c]	5	3.9079	0.32337	0.85249	-3.9079	0.68797	1	3.4533	0.7587	0.97978	4	3.9651	0.69882	0.99076	1	-0.20849	0.7909	0.9673
mannose-1-phosphate[c]	15	5.6697	0.31959	0.85027	-5.6697	0.71273	1	8.5964	0.58367	0.97335	9	9.3295	0.2839	0.91049	6	2.1658	0.83394	0.96952
mannose-6-phosphate[c]	9	3.0871	0.5057	0.9898	-3.0871	0.54101	1	9.5368	0.17363	0.64238	6	7.4865	0.34071	0.9672	3	5.9306	0.15483	0.66304
GDP[c]	52	24.023	6.5978e-07	0.00029047	-23.233	0.99999	1	23.015	0.010349	0.1981	45	24.706	0.0029234	0.079968	7	0.088046	0.97047	0.99115
GDP-mannose[c]	11	8.5423	0.06822	0.41794	-8.5422	0.92564	1	7.0079	0.62434	0.97734	9	8.3721	0.42023	0.99076	2	-1.3251	0.93717	0.97734
GTP[c]	90	19.041	0.0040817	0.074874	-18.468	0.99467	1	27.775	0.022083	0.2818	67	26.569	0.024626	0.24283	23	9.5972	0.42948	0.95692
GDP-4-dehydro-6-deoxy-D-mannose[c]	2	9.5177	0.009155	0.13107	-9.5176	0.98238	1	9.3721	0.010821	0.20404	2	9.3721	0.015609	0.20522	0	NA	NA	NA
GDP-L-fucose[c]	11	12.593	0.003814	0.07222	-12.52	0.99314	1	12.799	0.0308	0.31813	10	12.893	0.040052	0.32502	1	1.676	0.53562	0.9673
L-fucose-1-phosphate[c]	2	2.6564	0.36506	0.88311	-2.6564	0.63978	1	2.1564	0.67426	0.97978	2	2.1564	0.72711	0.99076	0	NA	NA	NA
mannose[c]	7	0.12416	0.78204	0.99999	1.8137	0.13846	0.75377	13.829	0.0019826	0.081274	4	8.934	0.07884	0.49707	3	10.807	0.0019041	0.10057
L-xylulose[c]	3	0.53635	0.64932	0.99999	-0.53635	0.39081	1	2.0293	0.78983	0.97978	2	1.33	0.82122	0.99076	1	1.6339	0.54201	0.9673
xylitol[c]	5	3.8619	0.32821	0.85656	-3.8617	0.68375	1	4.8462	0.56861	0.96467	3	5.6797	0.3301	0.94729	2	0.70629	0.77639	0.9673
D-xylose[c]	4	1.2339	0.60102	0.99999	-1.2336	0.44035	1	5.9043	0.33017	0.84735	1	7.9566	0.018177	0.22178	3	2.224	0.65956	0.9673
D-xylulose-5-phosphate[c]	4	8.086	0.042334	0.34355	-8.086	0.94529	1	7.6714	0.13343	0.58723	4	7.6714	0.17839	0.75071	0	NA	NA	NA
D-xylulose[c]	2	5.2171	0.13638	0.57317	-5.2171	0.84379	1	4.7631	0.29421	0.81208	2	4.7631	0.34739	0.97775	0	NA	NA	NA
L-arabinose[c];L-arabitol[c]	3	2.5748	0.41433	0.92484	-2.5748	0.60112	1	2.0889	0.78322	0.97978	2	3.0074	0.60979	0.99076	1	-0.63506	0.83461	0.96952
ribulose-5-phosphate[c]	4	5.6162	0.15614	0.61742	-5.6162	0.83391	1	4.9551	0.46848	0.92176	3	6.2822	0.25019	0.86808	1	-0.9708	0.86452	0.96952
UMP[c]	21	10.57	0.045844	0.35709	-10.57	0.95232	1	10.018	0.62177	0.97734	15	12.266	0.21513	0.82176	6	-0.65259	0.97983	0.99321
glucuronate[c]	6	-0.99071	0.8536	0.99999	0.99071	0.19908	0.83212	8.4974	0.15767	0.62451	3	5.3171	0.3826	0.98993	3	6.7001	0.094726	0.60846
GSH[c]	73	7.8506	0.63761	0.99999	-6.0013	0.32155	0.97461	23.215	0.12417	0.5729	45	19.35	0.24985	0.86808	28	12.954	0.14203	0.65625
(R)-S-lactoylglutathione[c]	12	-2.1211	0.95409	0.99999	2.1211	0.088163	0.62701	8.7514	0.42107	0.8838	6	4.5605	0.7653	0.99076	6	7.8159	0.11581	0.65625
lactaldehyde[c]	18	1.6509	0.79038	0.99999	-1.6508	0.29343	0.93502	11.378	0.3054	0.82908	9	9.408	0.27371	0.90809	9	6.6828	0.36625	0.91467
propane-1,2-diol[c]	13	0.63227	0.81604	0.99999	-0.63212	0.25524	0.90708	10.898	0.18467	0.66234	6	8.7623	0.18274	0.7615	7	6.7397	0.26384	0.82871
D-lactate[c]	15	4.9229	0.40128	0.91859	-4.9229	0.64372	1	10.335	0.32363	0.83968	9	10.024	0.20053	0.81349	6	4.0646	0.59558	0.9673
ferricytochrome C[m];ferrocytochrome C[m]	27	6.0147	0.4359	0.93894	-3.5005	0.3803	1	9.7189	0.83573	0.9838	22	7.9961	0.95338	0.99076	5	5.812	0.27196	0.83213
malate[m]	6	6.8897	0.10665	0.51594	-6.8897	0.88423	1	6.5164	0.39958	0.87507	5	7.0587	0.31738	0.93576	1	0.17803	0.74596	0.9673
malate[c]	7	3.5475	0.41237	0.92484	-3.5475	0.61703	1	4.6903	0.72624	0.97978	4	5.6049	0.45335	0.99076	3	0.69262	0.84156	0.96952
CO2[c]	73	17.091	0.0088183	0.12834	-15.151	0.97244	1	23.634	0.094218	0.51052	54	23.04	0.071541	0.46847	19	7.4852	0.63264	0.9673
NADP+[m]	105	14.788	0.12085	0.53992	-13.385	0.85756	1	29.434	0.022942	0.28653	67	27.324	0.011977	0.18636	38	12.647	0.37641	0.91745
NADPH[m]	103	14.22	0.15671	0.61742	-12.803	0.82016	1	29.044	0.027681	0.30818	65	26.891	0.013158	0.19073	38	12.647	0.37641	0.91745
OAA[c]	4	4.6979	0.22811	0.74842	-4.6979	0.76886	1	5.5063	0.38654	0.86568	3	5.7909	0.3146	0.93291	1	0.98257	0.63848	0.9673
GTP[m]	16	7.6235	0.15812	0.61742	-6.9821	0.80898	1	11.011	0.28201	0.79884	10	11.976	0.080752	0.4976	6	2.519	0.79798	0.9673
OAA[m]	6	9.0007	0.031459	0.29377	-9.0007	0.95935	1	9.6811	0.073252	0.45301	5	10.104	0.048076	0.37257	1	1.1212	0.61846	0.9673
GDP[m]	21	11.686	0.022017	0.24233	-10.496	0.95039	1	14.558	0.081919	0.47329	14	16.23	0.0065063	0.13295	7	2.2626	0.85637	0.96952
PEP[m]	2	1.0369	0.55191	0.99999	-1.0369	0.47821	1	2.7421	0.59042	0.9749	1	2.7568	0.47638	0.99076	1	1.1212	0.61846	0.9673
HCO3-[m]	8	5.5486	0.2249	0.74726	-5.5488	0.78237	1	10.387	0.0755	0.45935	5	9.8952	0.056779	0.41869	3	4.188	0.36507	0.91331
ADP[m]	223	33.716	5.7182e-08	5.0348e-05	-32.533	1	1	39.532	0.052078	0.38319	163	42.47	0.00029316	0.023676	60	6.2116	0.99953	0.99953
Pi[m]	197	30.586	2.1745e-06	0.00054705	-29.805	0.99999	1	36.609	0.089986	0.50201	146	38.642	0.0030167	0.081212	51	6.5693	0.99639	0.99945
hydroxyacetone[c]	4	3.8034	0.31328	0.84899	-3.8034	0.69376	1	3.2783	0.71141	0.97978	3	4.1521	0.56131	0.99076	1	-0.63506	0.83461	0.96952
acetone[c]	4	8.7952	0.026855	0.27174	-8.7952	0.96263	1	8.469	0.078808	0.46114	4	8.469	0.10898	0.59205	0	NA	NA	NA
