"","length","gc"
"ENSG00000004777",5260,0.646768060836502
"ENSG00000004779",1548,0.5
"ENSG00000004799",4544,0.373679577464789
"ENSG00000004838",2889,0.578054690204223
"ENSG00000004864",3710,0.454177897574124
"ENSG00000004866",6742,0.450756452091368
"ENSG00000004897",6824,0.390093786635404
"ENSG00000004948",4227,0.371421812159924
"ENSG00000004961",2343,0.426376440460947
"ENSG00000004975",5321,0.538432625446345
"ENSG00000005001",2384,0.591862416107383
"ENSG00000005007",8573,0.595474163070104
"ENSG00000005020",5361,0.4060809550457
"ENSG00000005022",1555,0.485530546623794
"ENSG00000005059",3555,0.39746835443038
"ENSG00000005075",1355,0.552029520295203
"ENSG00000005100",5789,0.47279322853688
"ENSG00000005102",2674,0.531413612565445
"ENSG00000005108",10921,0.372768061532827
"ENSG00000005156",12901,0.498488489264398
"ENSG00000005175",5350,0.421495327102804
"ENSG00000005187",7510,0.420639147802929
"ENSG00000005189",4114,0.463782207097715
"ENSG00000005194",3383,0.441915459651197
"ENSG00000005206",7419,0.63890012131015
"ENSG00000005238",6409,0.549383679201123
"ENSG00000005243",1866,0.54983922829582
"ENSG00000005249",4262,0.395354293758799
"ENSG00000005302",9780,0.443456032719836
"ENSG00000005339",15479,0.467278247948834
"ENSG00000005379",11389,0.591799104398981
"ENSG00000005436",5462,0.373306481142439
"ENSG00000005448",2852,0.563814866760168
"ENSG00000005469",4995,0.367367367367367
"ENSG00000005471",7728,0.39945652173913
"ENSG00000005483",9949,0.404864810533722
"ENSG00000005486",2390,0.574058577405858
"ENSG00000005513",4470,0.651677852348993
"ENSG00000005700",8719,0.37068471154949
"ENSG00000005801",11711,0.44718640594313
"ENSG00000005810",15987,0.365484456120598
"ENSG00000005812",7076,0.392594686263426
"ENSG00000005882",5471,0.581246572838604
"ENSG00000005884",9802,0.574372577025097
"ENSG00000005889",9037,0.421268119951311
"ENSG00000005893",9404,0.417375584857507
"ENSG00000005961",5695,0.533274802458297
"ENSG00000006007",4390,0.451480637813212
"ENSG00000006015",3370,0.596439169139466
"ENSG00000006016",2967,0.518705763397371
"ENSG00000006025",6572,0.587644552647596
"ENSG00000006042",5187,0.499325236167341
"ENSG00000006047",4631,0.587130209458
"ENSG00000006062",5668,0.517642907551164
"ENSG00000006071",12588,0.49960279631395
"ENSG00000006118",7271,0.612570485490304
"ENSG00000006125",7591,0.462257937030694
"ENSG00000006128",1712,0.460864485981308
"ENSG00000006194",6403,0.486803061065126
"ENSG00000006210",5960,0.55738255033557
"ENSG00000006282",5337,0.61663856098932
"ENSG00000006283",10062,0.593321407274896
"ENSG00000006327",1801,0.634647418101055
"ENSG00000006432",12386,0.447117713547554
"ENSG00000006451",3579,0.441184688460464
"ENSG00000006453",4821,0.498651732005808
"ENSG00000006459",9378,0.441778630838132
"ENSG00000006468",9615,0.389911596463859
"ENSG00000006530",10697,0.403664578853884
"ENSG00000006534",6626,0.586326592212496
"ENSG00000006555",6111,0.53460972017673
"ENSG00000006576",8646,0.355424473745084
"ENSG00000006606",706,0.5
"ENSG00000006607",14371,0.478602741632454
"ENSG00000006611",4904,0.524673735725938
"ENSG00000006625",1594,0.483688833124216
"ENSG00000006634",4595,0.388030467899891
"ENSG00000006638",2827,0.55748142907676
"ENSG00000006652",7462,0.403913160010721
"ENSG00000006659",904,0.476769911504425
"ENSG00000006695",6756,0.46388395500296
"ENSG00000006704",6498,0.581717451523546
"ENSG00000006712",2850,0.51859649122807
"ENSG00000006715",7752,0.39641382868937
"ENSG00000006740",9322,0.528856468568977
"ENSG00000006744",7002,0.466152527849186
"ENSG00000006747",11626,0.407792878031997
"ENSG00000006756",7026,0.523341873042983
"ENSG00000006757",3411,0.436528877162123
"ENSG00000006831",5831,0.434402332361516
"ENSG00000006837",3149,0.399174341060654
"ENSG00000007038",1967,0.601931875953228
"ENSG00000007047",6656,0.576923076923077
"ENSG00000007062",7434,0.452246435297283
"ENSG00000007080",1661,0.619506321493076
"ENSG00000007129",1977,0.558421851289833
"ENSG00000007168",8219,0.424869205499453
"ENSG00000007171",4399,0.498067742668788
"ENSG00000007174",16941,0.51035948291128
"ENSG00000007202",9232,0.479961005199307
"ENSG00000007237",10100,0.496237623762376
"ENSG00000007255",933,0.587352625937835
"ENSG00000007264",4138,0.523924601256646
"ENSG00000007312",2062,0.609117361784675
"ENSG00000007314",8243,0.569331554045857
"ENSG00000007341",8108,0.456709422792304
"ENSG00000007372",20639,0.514317554145065
"ENSG00000007376",2769,0.668472372697725
"ENSG00000007384",4914,0.612739112739113
"ENSG00000007392",6176,0.516515544041451
"ENSG00000007402",6322,0.601075608984499
"ENSG00000007516",6109,0.652971026354559
"ENSG00000007520",1210,0.644628099173554
"ENSG00000007541",7856,0.661532586558045
"ENSG00000007545",8596,0.579571893904141
"ENSG00000007866",3049,0.611347982945228
"ENSG00000007923",5083,0.48121188274641
"ENSG00000007933",3439,0.431520790927595
"ENSG00000007944",3072,0.4677734375
"ENSG00000007968",5462,0.549432442328817
"ENSG00000008018",2219,0.428571428571429
"ENSG00000008056",3733,0.486739887489954
"ENSG00000008083",6244,0.506566303651505
"ENSG00000008086",19056,0.421389588581024
"ENSG00000008118",3328,0.518028846153846
"ENSG00000008128",5085,0.494985250737463
"ENSG00000008130",5570,0.525134649910233
"ENSG00000008196",6155,0.482696994313566
"ENSG00000008226",8338,0.552050851523147
"ENSG00000008256",5808,0.465048209366391
"ENSG00000008277",12199,0.398639232723994
"ENSG00000008282",2804,0.477888730385164
"ENSG00000008283",5296,0.566654078549849
"ENSG00000008294",11966,0.442336620424536
"ENSG00000008300",13850,0.607220216606498
"ENSG00000008311",6664,0.391806722689076
"ENSG00000008323",4260,0.607746478873239
"ENSG00000008324",1298,0.479198767334361
"ENSG00000008382",2049,0.659346022449976
"ENSG00000008394",7441,0.386641580432738
"ENSG00000008405",4782,0.421371810957758
"ENSG00000008441",6302,0.608378292605522
"ENSG00000008513",8852,0.518413917758699
"ENSG00000008516",4246,0.65732454074423
"ENSG00000008517",3209,0.582736054845746
"ENSG00000008710",18534,0.644167475990072
"ENSG00000008735",5793,0.630761263593993
"ENSG00000008838",6962,0.483481758115484
"ENSG00000008853",6611,0.591287248525185
"ENSG00000008869",8238,0.410172371934936
"ENSG00000008952",7928,0.372098890010091
"ENSG00000008988",3002,0.435043304463691
"ENSG00000009307",5778,0.390792661820699
"ENSG00000009335",9215,0.456646771568096
"ENSG00000009413",12425,0.410623742454728
"ENSG00000009694",12896,0.372751240694789
"ENSG00000009709",6473,0.547350532983161
"ENSG00000009724",4257,0.484848484848485
"ENSG00000009780",4034,0.413237481408032
"ENSG00000009830",10008,0.479416466826539
"ENSG00000009844",7258,0.379856709837421
"ENSG00000009950",4815,0.573208722741433
"ENSG00000009954",7060,0.463031161473088
"ENSG00000010017",3618,0.479823106688778
"ENSG00000010030",2374,0.485256950294861
"ENSG00000010072",5906,0.422621063325432
"ENSG00000010165",3831,0.498303315061342
"ENSG00000010219",7054,0.457470938474624
"ENSG00000010244",15834,0.366300366300366
"ENSG00000010256",3204,0.525905118601748
"ENSG00000010270",4348,0.444802207911684
"ENSG00000010278",4165,0.517887154861945
"ENSG00000010292",6470,0.51854714064915
"ENSG00000010295",5203,0.525081683644052
"ENSG00000010310",5069,0.571513118958374
"ENSG00000010318",3364,0.50089179548157
"ENSG00000010319",5047,0.610263522884882
"ENSG00000010322",9062,0.582211432354889
"ENSG00000010327",10588,0.620891575368341
"ENSG00000010361",2953,0.499492041991195
"ENSG00000010404",9294,0.427695287282117
"ENSG00000010438",1664,0.572716346153846
"ENSG00000010539",7498,0.471192317951454
"ENSG00000010610",4557,0.552775949089313
"ENSG00000010626",3052,0.545871559633027
"ENSG00000010671",4575,0.439125683060109
"ENSG00000010704",5675,0.433303964757709
"ENSG00000010803",4447,0.458961097369013
"ENSG00000010810",7411,0.478882741870193
"ENSG00000010818",10655,0.390896292820272
"ENSG00000010932",3602,0.424486396446419
"ENSG00000011007",5391,0.491745501762196
"ENSG00000011009",2021,0.617516081147947
"ENSG00000011021",8173,0.529793221583262
"ENSG00000011028",6591,0.634805037171901
"ENSG00000011052",1241,0.531829170024174
"ENSG00000011105",6905,0.595944967414917
"ENSG00000011114",11333,0.406070766787258
"ENSG00000011132",5596,0.539671193709793
"ENSG00000011143",4074,0.478399607265587
"ENSG00000011198",7539,0.423928903037538
"ENSG00000011201",7082,0.461451567353855
"ENSG00000011243",5079,0.596574128765505
"ENSG00000011258",7184,0.403674832962138
"ENSG00000011260",2703,0.428042915279319
"ENSG00000011275",7619,0.496390602441265
"ENSG00000011295",6054,0.435744962008589
"ENSG00000011304",6883,0.604968763620514
"ENSG00000011332",4800,0.586875
"ENSG00000011347",7552,0.603681144067797
"ENSG00000011376",12407,0.483839767872975
"ENSG00000011405",9204,0.410365058670143
"ENSG00000011422",4457,0.500560915413956
"ENSG00000011426",5997,0.40253460063365
"ENSG00000011451",10037,0.595397030985354
"ENSG00000011454",9151,0.422904600590099
"ENSG00000011465",12548,0.350972266496653
"ENSG00000011478",2213,0.57930411206507
"ENSG00000011485",7089,0.561292142756383
"ENSG00000011523",8623,0.464919401600371
"ENSG00000011566",6056,0.414299867899604
"ENSG00000011638",2558,0.500781860828772
"ENSG00000011677",4150,0.436626506024096
"ENSG00000012048",9306,0.460348162475822
"ENSG00000012061",5575,0.508520179372197
"ENSG00000012124",6165,0.549553933495539
"ENSG00000012171",5768,0.635922330097087
"ENSG00000012174",8945,0.388038010061487
"ENSG00000012211",3656,0.550875273522976
"ENSG00000012223",3989,0.479318124843319
"ENSG00000012232",13046,0.504982370075119
"ENSG00000012660",3813,0.504589562024653
"ENSG00000012779",3730,0.589544235924933
"ENSG00000012817",9463,0.377470146887879
"ENSG00000012822",8898,0.493369296471117
"ENSG00000012963",3509,0.445426047306925
"ENSG00000012983",7620,0.4249343832021
"ENSG00000013016",4825,0.545699481865285
"ENSG00000013275",2550,0.531764705882353
"ENSG00000013288",8884,0.574290859972985
"ENSG00000013293",10496,0.411299542682927
"ENSG00000013297",4321,0.470261513538533
"ENSG00000013306",3526,0.621951219512195
"ENSG00000013364",6141,0.57352222765022
"ENSG00000013374",5411,0.482165958233229
"ENSG00000013375",7478,0.382054025140412
"ENSG00000013392",3769,0.428230299814274
"ENSG00000013441",5170,0.407930367504836
"ENSG00000013503",4768,0.441484899328859
"ENSG00000013523",6525,0.44367816091954
"ENSG00000013561",4988,0.443263833199679
"ENSG00000013563",4132,0.551064859632139
"ENSG00000013573",8367,0.565316122863631
"ENSG00000013583",3428,0.448074679113186
"ENSG00000013588",7663,0.485580060028709
"ENSG00000013619",5958,0.544645854313528
"ENSG00000013725",5958,0.582242363209131
"ENSG00000013810",8202,0.5960741282614
"ENSG00000014123",4539,0.37320995814056
"ENSG00000014138",5568,0.51257183908046
"ENSG00000014164",3721,0.655737704918033
"ENSG00000014216",7506,0.604583000266454
"ENSG00000014257",4280,0.432476635514019
"ENSG00000014641",4990,0.41122244488978
"ENSG00000014824",7199,0.378802611473816
"ENSG00000014914",4572,0.509842519685039
"ENSG00000014919",5215,0.41457334611697
"ENSG00000015133",12426,0.505230967326573
"ENSG00000015153",10839,0.391641295322447
"ENSG00000015171",5300,0.428679245283019
"ENSG00000015285",2361,0.600592969080898
"ENSG00000015413",2737,0.633175009134088
"ENSG00000015475",4446,0.571075123706703
"ENSG00000015479",12064,0.385278514588859
"ENSG00000015520",5252,0.553122619954303
"ENSG00000015532",5472,0.586074561403509
"ENSG00000015568",14185,0.399295029961227
"ENSG00000015592",3294,0.476017000607165
"ENSG00000015676",9893,0.463357929849389
"ENSG00000016082",2817,0.451544195953142
"ENSG00000016391",7787,0.518556568640041
"ENSG00000016402",4730,0.453911205073996
"ENSG00000016864",3783,0.482685699180544
"ENSG00000017260",8533,0.398218680417204
"ENSG00000017427",8115,0.401232285890327
"ENSG00000017483",4018,0.56470881035341
"ENSG00000017797",8041,0.459395597562492
"ENSG00000018189",9405,0.412971823498139
"ENSG00000018236",7492,0.389482114255206
"ENSG00000018408",8413,0.390942588850588
"ENSG00000018510",8850,0.366779661016949
"ENSG00000018610",2581,0.472297559085626
"ENSG00000018625",6298,0.533343918704351
"ENSG00000018699",3443,0.444670345628812
"ENSG00000018869",3350,0.42
"ENSG00000019144",21715,0.54390973981119
"ENSG00000019485",13940,0.543328550932568
"ENSG00000019505",5445,0.478236914600551
"ENSG00000019549",3281,0.418774763791527
"ENSG00000019582",4780,0.511924686192469
"ENSG00000019991",9753,0.366143750640828
"ENSG00000019995",5993,0.393625896879693
"ENSG00000020129",4917,0.612161887329673
"ENSG00000020181",7084,0.628176171654433
"ENSG00000020256",6790,0.462297496318115
"ENSG00000020426",3877,0.364457054423523
"ENSG00000020577",12333,0.481958971864104
"ENSG00000020633",4523,0.535706389564448
"ENSG00000020922",7674,0.394709408391973
"ENSG00000021300",4933,0.565984188120819
"ENSG00000021355",3047,0.493600262553331
"ENSG00000021574",9490,0.40895679662803
"ENSG00000021645",15533,0.453808021631365
"ENSG00000021762",7473,0.60457647531112
"ENSG00000021776",13431,0.407192316283225
"ENSG00000021826",11018,0.417317117444182
"ENSG00000022267",5862,0.501194131695667
"ENSG00000022277",4063,0.463204528673394
"ENSG00000022355",8420,0.383610451306413
"ENSG00000022556",6313,0.507682559797244
"ENSG00000022567",8608,0.535664498141264
"ENSG00000022840",5900,0.504915254237288
"ENSG00000022976",5590,0.532200357781753
"ENSG00000023041",3748,0.409551760939168
"ENSG00000023171",14944,0.508163811563169
"ENSG00000023191",7374,0.612015188500136
"ENSG00000023228",12174,0.419993428618367
"ENSG00000023287",7613,0.383029029292001
"ENSG00000023318",4808,0.376663893510815
"ENSG00000023330",2536,0.51813880126183
"ENSG00000023445",7518,0.366719872306464
"ENSG00000023516",9915,0.372970247100353
"ENSG00000023572",6210,0.42512077294686
"ENSG00000023608",2593,0.368684920940995
"ENSG00000023697",2813,0.408460718094561
"ENSG00000023734",2215,0.423476297968397
"ENSG00000023839",7837,0.442643868827357
"ENSG00000023892",2579,0.60566110895696
"ENSG00000023902",6629,0.543822597676874
"ENSG00000023909",5426,0.385366752672318
"ENSG00000024048",8840,0.418891402714932
"ENSG00000024422",3844,0.606919875130073
"ENSG00000024526",5904,0.369918699186992
"ENSG00000024862",1507,0.463171864631719
"ENSG00000025039",5095,0.485966633954858
"ENSG00000025156",2697,0.403411197626993
"ENSG00000025293",8372,0.449474438604873
"ENSG00000025423",2272,0.477112676056338
"ENSG00000025434",4534,0.559991177767975
"ENSG00000025708",3600,0.650555555555556
"ENSG00000025770",4459,0.601255886970173
"ENSG00000025772",1973,0.491637100861632
"ENSG00000025796",8606,0.420520567046247
"ENSG00000025800",7457,0.47592865763712
"ENSG00000026025",5176,0.502704791344668
"ENSG00000026036",9093,0.638953040800616
"ENSG00000026103",5578,0.42846898529939
"ENSG00000026297",14943,0.507595529679449
"ENSG00000026508",10004,0.42313074770092
"ENSG00000026559",5415,0.537211449676824
"ENSG00000026652",14253,0.442643653967586
"ENSG00000026950",5539,0.475356562556418
"ENSG00000027001",3388,0.391971664698937
"ENSG00000027075",8830,0.494563986409966
"ENSG00000027644",5200,0.550384615384615
"ENSG00000027697",3276,0.458180708180708
"ENSG00000027847",4878,0.605166051660517
"ENSG00000027869",2512,0.572452229299363
"ENSG00000028116",3531,0.440101954120646
"ENSG00000028137",3778,0.594494441503441
"ENSG00000028203",8766,0.385694729637235
"ENSG00000028277",9072,0.482804232804233
"ENSG00000028310",9549,0.574196250916326
"ENSG00000028528",9789,0.463479415670651
"ENSG00000028839",5039,0.392538202024211
"ENSG00000029153",6983,0.408850064442217
"ENSG00000029363",9533,0.396936955837617
"ENSG00000029364",7138,0.434995797142057
"ENSG00000029534",10797,0.508474576271186
"ENSG00000029639",4111,0.412308440768669
"ENSG00000029725",7059,0.417764555886103
"ENSG00000029993",3914,0.453755748594788
"ENSG00000030066",8576,0.423041044776119
"ENSG00000030110",2212,0.595388788426763
"ENSG00000030419",12240,0.365686274509804
"ENSG00000030582",3524,0.618615209988649
"ENSG00000031003",6808,0.422444183313749
"ENSG00000031081",9374,0.496799658630254
"ENSG00000031691",1741,0.340034462952326
"ENSG00000031698",3849,0.485840478046246
"ENSG00000031823",7445,0.536601746138348
"ENSG00000032219",7449,0.395355081218956
"ENSG00000032389",5775,0.491601731601732
"ENSG00000032444",7172,0.636642498605689
"ENSG00000032742",6111,0.385370643102602
"ENSG00000033011",5386,0.520423319717787
"ENSG00000033030",9125,0.42586301369863
"ENSG00000033050",5158,0.494183792167507
"ENSG00000033100",4205,0.604756242568371
"ENSG00000033122",30043,0.387943947009287
"ENSG00000033170",6976,0.436783256880734
"ENSG00000033178",11408,0.35922159887798
"ENSG00000033327",6775,0.478819188191882
"ENSG00000033627",10955,0.490460976722958
"ENSG00000033800",10776,0.434112843355605
"ENSG00000033867",9616,0.408277870216306
"ENSG00000034053",6869,0.561944970155772
"ENSG00000034152",3775,0.591258278145695
"ENSG00000034239",5822,0.399690827894194
"ENSG00000034510",461,0.533622559652928
"ENSG00000034533",3427,0.3772979282171
"ENSG00000034677",5852,0.405160628844839
"ENSG00000034693",2830,0.36678445229682
"ENSG00000034713",3010,0.4578073089701
"ENSG00000035115",11132,0.384926338483651
"ENSG00000035141",3086,0.503888528839922
"ENSG00000035403",9992,0.453662930344275
"ENSG00000035499",3806,0.425118234366789
"ENSG00000035664",13612,0.459080223332354
"ENSG00000035681",6170,0.43192868719611
"ENSG00000035687",3441,0.472246439988375
"ENSG00000035862",5633,0.569678679211788
"ENSG00000035928",6719,0.39633874088406
"ENSG00000036054",5176,0.378670788253478
"ENSG00000036257",11505,0.427466318991743
"ENSG00000036448",7056,0.515873015873016
"ENSG00000036530",9358,0.475849540500107
"ENSG00000036549",9008,0.388432504440497
"ENSG00000036672",4523,0.598275480875525
"ENSG00000036828",12020,0.474292845257903
"ENSG00000037042",2793,0.556032939491586
"ENSG00000037241",1164,0.515463917525773
"ENSG00000037280",8852,0.615341165838229
"ENSG00000037474",5506,0.448964765710134
"ENSG00000037637",9009,0.435675435675436
"ENSG00000037749",7795,0.44143681847338
"ENSG00000037757",3466,0.54270051933064
"ENSG00000037897",1947,0.54185927067283
"ENSG00000038002",2605,0.467562380038388
"ENSG00000038210",3685,0.381004070556309
"ENSG00000038219",15862,0.400075652502837
"ENSG00000038274",5135,0.381694255111977
"ENSG00000038295",8105,0.405428747686613
"ENSG00000038358",6140,0.594625407166124
"ENSG00000038382",17860,0.512318029115342
"ENSG00000038427",14678,0.416064858972612
"ENSG00000038532",12523,0.520322606404216
"ENSG00000039068",6103,0.484679665738162
"ENSG00000039123",6347,0.401449503702537
"ENSG00000039139",16475,0.39587253414264
"ENSG00000039319",15490,0.371400903808909
"ENSG00000039523",6729,0.61836825679893
"ENSG00000039560",7581,0.442817570241393
"ENSG00000039600",3489,0.443680137575236
"ENSG00000039650",4545,0.596259625962596
"ENSG00000039987",2646,0.603174603174603
"ENSG00000040199",12493,0.405346994316817
"ENSG00000040275",4775,0.401675392670157
"ENSG00000040341",8964,0.415216421240518
"ENSG00000040487",2686,0.619136262099777
"ENSG00000040531",4949,0.554455445544555
"ENSG00000040608",3126,0.607165706973768
"ENSG00000040633",2733,0.620563483351628
"ENSG00000040731",3660,0.34672131147541
"ENSG00000040933",13189,0.490636136174084
"ENSG00000041353",7154,0.354347218339391
"ENSG00000041357",6994,0.42622247640835
"ENSG00000041515",8816,0.48049001814882
"ENSG00000041802",4801,0.420953967923349
"ENSG00000041880",2928,0.582308743169399
"ENSG00000041982",9639,0.407511152609192
"ENSG00000041988",4072,0.589390962671906
"ENSG00000042062",6023,0.494936078366263
"ENSG00000042088",6223,0.471958862285072
"ENSG00000042286",5135,0.546445959104187
"ENSG00000042317",6872,0.395081490104773
"ENSG00000042429",16610,0.402167369054786
"ENSG00000042445",4049,0.49913558903433
"ENSG00000042493",2419,0.559322033898305
"ENSG00000042753",1558,0.602053915275995
"ENSG00000042781",20633,0.358018707895119
"ENSG00000042832",11132,0.52703916636723
"ENSG00000042980",9318,0.386241682764542
"ENSG00000043093",8307,0.468279764054412
"ENSG00000043143",9877,0.564240153892883
"ENSG00000043355",3290,0.586322188449848
"ENSG00000043462",6839,0.466296242140664
"ENSG00000043514",6533,0.438389713760906
"ENSG00000043591",3039,0.587693320171109
"ENSG00000044090",6101,0.561875102442223
"ENSG00000044115",8830,0.480634201585504
"ENSG00000044446",8547,0.442143442143442
"ENSG00000044459",11064,0.369848156182213
"ENSG00000044524",6577,0.394708833814809
"ENSG00000044574",3921,0.465952563121653
"ENSG00000046604",6056,0.405383091149273
"ENSG00000046647",2424,0.449257425742574
"ENSG00000046651",5176,0.416151468315301
"ENSG00000046653",5767,0.437315762094677
"ENSG00000046889",12132,0.388147049126278
"ENSG00000047056",6301,0.508014600857007
"ENSG00000047188",10805,0.367515039333642
"ENSG00000047230",5531,0.45832580003616
"ENSG00000047249",5104,0.413009404388715
"ENSG00000047315",5891,0.416907146494653
"ENSG00000047346",9832,0.378356387306753
"ENSG00000047365",12427,0.360746761084735
"ENSG00000047410",12350,0.352226720647773
"ENSG00000047457",7072,0.373161764705882
"ENSG00000047578",9784,0.545993458708095
"ENSG00000047579",3046,0.49704530531845
"ENSG00000047597",5174,0.416312330885195
"ENSG00000047617",6255,0.45515587529976
"ENSG00000047621",4932,0.374695863746959
"ENSG00000047634",5497,0.354375113698381
"ENSG00000047644",7418,0.54489080614721
"ENSG00000047648",8893,0.422242212976498
"ENSG00000047662",6731,0.445104739266082
"ENSG00000047849",14943,0.442079903633808
"ENSG00000047932",4628,0.392394122731201
"ENSG00000048028",5719,0.457422626333275
"ENSG00000048052",16827,0.394603910382124
"ENSG00000048140",5215,0.593480345158198
"ENSG00000048162",2814,0.479744136460554
"ENSG00000048342",9556,0.427270824612809
"ENSG00000048392",5391,0.410869968465962
"ENSG00000048405",5793,0.342137061971345
"ENSG00000048471",11299,0.511461191255863
"ENSG00000048540",10002,0.355428914217157
"ENSG00000048544",2100,0.436190476190476
"ENSG00000048545",1963,0.551197147223637
"ENSG00000048649",15740,0.436658195679797
"ENSG00000048707",20768,0.458253081664099
"ENSG00000048740",10978,0.433503370377118
"ENSG00000048828",7246,0.455561689207839
"ENSG00000048991",7898,0.449860724233983
"ENSG00000049089",4215,0.586476868327402
"ENSG00000049130",6205,0.412248186946011
"ENSG00000049167",5448,0.377019089574156
"ENSG00000049192",8565,0.37851722124927
"ENSG00000049239",9322,0.565436601587642
"ENSG00000049245",2733,0.431028174167581
"ENSG00000049246",8099,0.437461414989505
"ENSG00000049249",6354,0.452313503305005
"ENSG00000049283",4503,0.607150788363313
"ENSG00000049323",7348,0.50707675557975
"ENSG00000049449",4472,0.446109123434705
"ENSG00000049540",6542,0.586365025985937
"ENSG00000049541",2211,0.520578923563998
"ENSG00000049618",45931,0.428381702989266
"ENSG00000049656",6549,0.57581310123683
"ENSG00000049759",17596,0.475278472380086
"ENSG00000049768",3086,0.567401166558652
"ENSG00000049769",4378,0.582686158063042
"ENSG00000049860",5015,0.425722831505484
"ENSG00000049883",12115,0.425257944696657
"ENSG00000050030",11869,0.421349734602747
"ENSG00000050130",4350,0.390114942528736
"ENSG00000050165",11958,0.48469643753136
"ENSG00000050327",5818,0.564798899965624
"ENSG00000050344",4303,0.456890541482686
"ENSG00000050393",6057,0.434703648670959
"ENSG00000050405",6317,0.422827291435808
"ENSG00000050426",6032,0.466014588859416
"ENSG00000050438",17920,0.455859375
"ENSG00000050555",7502,0.624500133297787
"ENSG00000050628",9653,0.392934838910183
"ENSG00000050730",3749,0.357161909842625
"ENSG00000050748",8955,0.471915131211614
"ENSG00000050767",3604,0.570754716981132
"ENSG00000050820",9199,0.560713120991412
"ENSG00000051009",4726,0.447735928903936
"ENSG00000051108",5062,0.424930857368629
"ENSG00000051128",3422,0.592343658679135
"ENSG00000051180",3084,0.493190661478599
"ENSG00000051341",9382,0.408761458111277
"ENSG00000051382",7841,0.453513582451218
"ENSG00000051523",3253,0.611435597909622
"ENSG00000051596",3449,0.426790374021455
"ENSG00000051620",10352,0.47749227202473
"ENSG00000051825",10304,0.464382763975155
"ENSG00000052126",12558,0.422599139990444
"ENSG00000052344",2975,0.597983193277311
"ENSG00000052723",5894,0.378520529351883
"ENSG00000052749",8529,0.502520811349513
"ENSG00000052795",10981,0.421090975321009
"ENSG00000052802",2852,0.388499298737728
"ENSG00000052841",11296,0.404479461756374
"ENSG00000052850",5727,0.575519469181072
"ENSG00000053108",6711,0.514826404410669
"ENSG00000053254",11033,0.437686939182453
"ENSG00000053328",1774,0.507328072153326
"ENSG00000053371",1781,0.576080853453116
"ENSG00000053372",2556,0.543427230046948
"ENSG00000053438",1329,0.581640331075997
"ENSG00000053501",2431,0.562731386260798
"ENSG00000053524",20568,0.429064566316608
"ENSG00000053702",2814,0.536247334754797
"ENSG00000053747",14678,0.479765635645183
"ENSG00000053770",13019,0.353406559643598
"ENSG00000053900",7494,0.370696557245797
"ENSG00000053918",4420,0.619230769230769
"ENSG00000054116",3527,0.546356677062659
"ENSG00000054118",4720,0.47521186440678
"ENSG00000054148",1612,0.649503722084367
"ENSG00000054179",2640,0.667045454545454
"ENSG00000054219",8805,0.415559341283362
"ENSG00000054267",11073,0.407838887383726
"ENSG00000054277",3724,0.369226638023631
"ENSG00000054282",5321,0.417778613042661
"ENSG00000054356",8228,0.544603791929995
